import time: self [us] | cumulative | imported package
import time:       177 |        177 |       pyqtgraph.widgets.PathButton
import time:       201 |        378 |     pyqtgraph.widgets.GroupBox
import time:       189 |        189 |     pyqtgraph.widgets.JoystickButton
import time:       169 |        169 |     pyqtgraph.widgets.LayoutWidget
import time:       192 |        192 |     pyqtgraph.widgets.MultiPlotWidget
import time:       238 |        238 |     pyqtgraph.widgets.ProgressDialog
import time:       189 |        189 |           OpenGL.version
import time:       263 |        263 |           OpenGL.plugins
import time:       288 |        739 |         OpenGL
import time:       119 |        119 |             OpenGL._configflags
import time:       189 |        189 |               ctypes.util
import time:       166 |        166 |                 OpenGL.platform.ctypesloader
import time:       126 |        126 |                 OpenGL._bytes
import time:       210 |        210 |                 OpenGL.logs
import time:       331 |        831 |               OpenGL.platform.baseplatform
import time:       259 |       1278 |             OpenGL.platform.egl
import time:      1274 |       2671 |           OpenGL.platform
import time:        87 |         87 |             OpenGL_accelerate
import time:       171 |        258 |           OpenGL.acceleratesupport
import time:       325 |       3252 |         OpenGL.error
import time:       198 |        198 |           OpenGL.GL.VERSION
import time:       233 |        233 |           OpenGL.constant
import time:       125 |        125 |                 OpenGL.raw
import time:       198 |        322 |               OpenGL.raw.GL
import time:       185 |        185 |                 OpenGL._opaque
import time:       594 |        779 |               OpenGL.raw.GL._types
import time:       178 |        178 |               OpenGL.arrays.formathandler
import time:       157 |        157 |               OpenGL.arrays._arrayconstants
import time:       787 |       2220 |             OpenGL.arrays.arraydatatype
import time:       156 |        156 |               OpenGL.contextdata
import time:       113 |        113 |                 OpenGL._null
import time:       406 |        518 |               OpenGL.converters
import time:       292 |        966 |             OpenGL.arrays.arrayhelpers
import time:       178 |       3363 |           OpenGL.arrays
import time:       234 |        234 |             OpenGL.latebind
import time:       513 |        746 |           OpenGL.extensions
import time:       294 |        294 |           OpenGL.wrapper
import time:       151 |        151 |             OpenGL.raw.GL._lookupint
import time:       407 |        558 |           OpenGL.raw.GL._glgets
import time:       130 |        130 |             OpenGL.raw.GL.VERSION
import time:       937 |        937 |             OpenGL.raw.GL._errors
import time:      5416 |       5416 |             OpenGL.raw.GL.VERSION.GL_1_0
import time:       999 |       7480 |           OpenGL.raw.GL.VERSION.GL_1_1
import time:      4488 |       4488 |           OpenGL.GL.VERSION.GL_1_0
import time:      1114 |      18471 |         OpenGL.GL.VERSION.GL_1_1
import time:      1776 |       1776 |         OpenGL.GL.pointers
import time:       334 |        334 |           OpenGL.raw.GL.VERSION.GL_1_2
import time:      1979 |       1979 |           OpenGL.raw.GL.VERSION.GL_3_0
import time:       234 |        234 |           OpenGL.images
import time:      1985 |       4532 |         OpenGL.GL.images
import time:       183 |        183 |           OpenGL.lazywrapper
import time:       405 |        588 |         OpenGL.GL.exceptional
import time:       141 |        141 |         OpenGL.GL.glget
import time:       139 |        139 |             OpenGL.GL.ARB
import time:       127 |        127 |               OpenGL.raw.GL.ARB
import time:      1041 |       1168 |             OpenGL.raw.GL.ARB.imaging
import time:      1024 |       2329 |           OpenGL.GL.ARB.imaging
import time:       139 |        139 |             OpenGL.constants
import time:       899 |       1037 |           OpenGL.GL.VERSION.GL_1_2_images
import time:       363 |       3728 |         OpenGL.GL.VERSION.GL_1_2
import time:       994 |        994 |           OpenGL.raw.GL.VERSION.GL_1_3
import time:      1159 |       2152 |         OpenGL.GL.VERSION.GL_1_3
import time:       962 |        962 |           OpenGL.raw.GL.VERSION.GL_1_4
import time:      1462 |       2423 |         OpenGL.GL.VERSION.GL_1_4
import time:       502 |        502 |           OpenGL.raw.GL.VERSION.GL_1_5
import time:     12101 |      12603 |         OpenGL.GL.VERSION.GL_1_5
import time:      1630 |       1630 |           OpenGL.raw.GL.VERSION.GL_2_0
import time:       824 |        824 |           OpenGL.raw.GL.ARB.shader_objects
import time:      2104 |       4557 |         OpenGL.GL.VERSION.GL_2_0
import time:       274 |        274 |           OpenGL.raw.GL.VERSION.GL_2_1
import time:       466 |        740 |         OpenGL.GL.VERSION.GL_2_1
import time:      1342 |       1342 |         OpenGL.GL.VERSION.GL_3_0
import time:       516 |        516 |           OpenGL.raw.GL.VERSION.GL_3_1
import time:       447 |        962 |         OpenGL.GL.VERSION.GL_3_1
import time:       598 |        598 |           OpenGL.raw.GL.VERSION.GL_3_2
import time:       487 |       1085 |         OpenGL.GL.VERSION.GL_3_2
import time:      1015 |       1015 |           OpenGL.raw.GL.VERSION.GL_3_3
import time:      1000 |       2014 |         OpenGL.GL.VERSION.GL_3_3
import time:       977 |        977 |           OpenGL.raw.GL.VERSION.GL_4_0
import time:       855 |       1831 |         OpenGL.GL.VERSION.GL_4_0
import time:      1479 |       1479 |           OpenGL.raw.GL.VERSION.GL_4_1
import time:       265 |        265 |             OpenGL.raw.GL.ARB.ES2_compatibility
import time:       814 |       1078 |           OpenGL.GL.ARB.ES2_compatibility
import time:       208 |        208 |             OpenGL.raw.GL.ARB.get_program_binary
import time:       339 |        547 |           OpenGL.GL.ARB.get_program_binary
import time:      1007 |       1007 |             OpenGL.raw.GL.ARB.separate_shader_objects
import time:      1262 |       2268 |           OpenGL.GL.ARB.separate_shader_objects
import time:       153 |        153 |             OpenGL.raw.GL.ARB.shader_precision
import time:       182 |        334 |           OpenGL.GL.ARB.shader_precision
import time:       332 |        332 |             OpenGL.raw.GL.ARB.vertex_attrib_64bit
import time:       319 |        651 |           OpenGL.GL.ARB.vertex_attrib_64bit
import time:       365 |        365 |             OpenGL.raw.GL.ARB.viewport_array
import time:       477 |        842 |           OpenGL.GL.ARB.viewport_array
import time:      1849 |       9045 |         OpenGL.GL.VERSION.GL_4_1
import time:       548 |        548 |           OpenGL.raw.GL.VERSION.GL_4_2
import time:       204 |        204 |             OpenGL.raw.GL.ARB.base_instance
import time:       231 |        434 |           OpenGL.GL.ARB.base_instance
import time:       144 |        144 |             OpenGL.raw.GL.ARB.shading_language_420pack
import time:       162 |        306 |           OpenGL.GL.ARB.shading_language_420pack
import time:       179 |        179 |             OpenGL.raw.GL.ARB.transform_feedback_instanced
import time:       162 |        341 |           OpenGL.GL.ARB.transform_feedback_instanced
import time:       152 |        152 |             OpenGL.raw.GL.ARB.compressed_texture_pixel_storage
import time:       158 |        310 |           OpenGL.GL.ARB.compressed_texture_pixel_storage
import time:       141 |        141 |             OpenGL.raw.GL.ARB.conservative_depth
import time:       151 |        292 |           OpenGL.GL.ARB.conservative_depth
